Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
154,NEW,Mae Stephens ,If We Ever Broke Up,1,154,,8129745,,8129745
155,-3,Steve Lacy ,Dark Red,81,66,,8110419,-128878.0,630598733
156,-13,Charlie Puth ,Left and Right (Feat. Jung Kook of BTS),35,7,,8083767,-346099.0,490973374
157,-23,James Arthur ,Say You Won't Let Go,289,7,,8051167,-508755.0,1975186494
158,-14,The Weeknd ,Save Your Tears (Remix),46,43,,7994634,-382287.0,354247345
159,+18,Yng Lvcas ,La Bebe,2,159,,7989823,378556.0,15601090
160,-6,Lil Nas X ,STAR WALKIN' (League of Legends Worlds Anthem),22,22,,7982786,-248175.0,228800611
161,+8,The Weeknd ,The Hills,160,3,1,7973449,43011.0,984569116
162,NEW,Raim Laode ,Komang,1,162,,7960809,,7960809
163,-13,The Walters ,I Love You So,72,21,,7943308,-315462.0,678138332
164,RE,The Weeknd ,Reminder,15,27,,7933327,,73133264
165,NEW,beabadoobee ,Glue Song,1,165,,7914985,,7914985
166,-5,Beach Weather ,"Sex, Drugs, Etc.",28,58,,7913327,-200849.0,242509113
167,NEW,Treyce ,Lovezinho,1,167,,7909276,,7909276
168,-2,Bad Bunny ,Moscow Mule,42,2,2,7887758,-114544.0,760377101
169,+4,OneRepublic ,Counting Stars,248,3,5,7877678,12378.0,1025572868
170,-19,Adele ,Set Fire to the Rain,19,61,,7863859,-394163.0,93785529
171,-33,Coldplay ,My Universe,67,3,1,7863290,-630993.0,831969189
172,-32,LE SSERAFIM ,ANTIFRAGILE,18,63,,7861586,-608703.0,169074644
173,-15,Mac DeMarco ,Heart To Heart,6,112,,7819000,-318411.0,48679832
174,-10,Rema ,Calm Down,33,73,,7800557,-239201.0,248298118
175,=,Arctic Monkeys ,Do I Wanna Know?,159,38,,7781542,10534.0,615681438
176,-6,Eminem ,Lose Yourself,214,44,,7768783,-151079.0,756376912
177,-56,Sam Smith ,I'm Not Here To Make Friends,4,58,,7768464,-1164228.0,39747805
178,-7,Imagine Dragons ,Enemy,55,3,4,7763246,-129583.0,728162808
179,-84,Rihanna ,Stay,2,95,,7757767,-2117036.0,17632570
180,-2,J Balvin ,LA CANCIÓN,105,17,,7745579,136718.0,909256317
181,+4,Ed Sheeran ,Shape of You,305,1,14,7664808,142893.0,3278368399
182,-23,BLACKPINK ,Shut Down,23,1,1,7652039,-470550.0,309011461
183,-2,Justin Bieber ,Ghost,75,11,,7624151,49353.0,897753962
184,+11,Arctic Monkeys ,Why'd You Only Call Me When You're High?,66,104,,7560995,155369.0,419866831
185,-17,Wisin & Yandel ,Besos Moja2,21,64,,7547050,-417711.0,191474366
186,-19,SZA ,Shirt,17,21,,7540080,-461618.0,199802747
187,+2,Conan Gray ,Heather,135,12,,7512384,19842.0,1078033507
188,-85,ROSALÍA ,LLYLM,4,46,,7500488,-1996874.0,45230874
189,-6,Post Malone ,Sunflower,222,1,2,7491727,-49704.0,2475897992
190,-11,Calvin Harris ,One Kiss,110,2,4,7479677,-122824.0,1217668756
191,NEW,Miguel ,Sure Thing,1,191,,7464351,,7464351
192,-29,Hotel Ugly ,Shut up My Moms Calling,14,89,,7436367,-618963.0,110429048
193,+5,XXXTENTACION ,Revenge,51,63,,7385310,-1676.0,329781521
194,+5,Imagine Dragons ,Demons,157,8,,7376049,19706.0,448199478
195,-23,Ayra Starr ,Rush,2,172,,7369006,-496352.0,15234364
196,-2,Coolio ,Gangsta's Paradise,65,40,,7328167,-79029.0,425337609
197,=,Nicky Youre ,Sunroof,42,28,,7308407,-84896.0,427965308
198,+2,Keane ,Somewhere Only We Know,19,120,,7271570,-71280.0,134969180
199,-8,Sam Smith ,I'm Not The Only One,84,30,,7248047,-205060.0,322464832
200,-8,Beach House ,Space Song,21,119,,7242499,-188159.0,142070539
